"id","basket_value","date","day","Item_1","Item_2","Item_3","Item_4","Item_5","Item_6","Item_7","Item_8","Item_9","Item_10","Item_11","Item_12","Item_13","Item_14","Item_15","Item_16","Item_17","Item_18","Item_19","Item_20","Item_21","Item_22","Item_23","Item_24","Item_25","Item_26","Item_27","Item_28","Item_29","Item_30","Item_31","Item_32"
2334,1.6,"6/9/2023","Friday","meat","beef","root vegetables","butter","flour","fruit/vegetable juice","whisky","white wine","napkins","","","","","","","","","","","","","","","","","","","","","","",""
1253,13.8,"5/18/2023","Thursday","sausage","tropical fruit","whole milk","yogurt","processed cheese","pastry","margarine","Instant food products","coffee","popcorn","house keeping products","","","","","","","","","","","","","","","","","","","","",""
6749,1.7,"5/19/2023","Friday","soda","bottled beer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6357,5.1,"5/28/2023","Sunday","whipped/sour cream","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9721,1.5,"7/21/2023","Friday","yogurt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8983,5.4,"5/23/2023","Tuesday","citrus fruit","whole milk","bottled water","soda","fruit/vegetable juice","bottled beer","","","","","","","","","","","","","","","","","","","","","","","","","",""
5635,19.5,"7/6/2023","Thursday","sausage","chicken","herbs","other vegetables","whole milk","whipped/sour cream","sliced cheese","domestic eggs","rolls/buns","brown bread","margarine","soda","waffles","chocolate marshmallow","","","","","","","","","","","","","","","","","",""
1229,14.9,"7/14/2023","Friday","pork","beef","citrus fruit","berries","root vegetables","other vegetables","whole milk","yogurt","cream cheese ","vinegar","oil","cat food","specialty chocolate","detergent","dish cleaner","abrasive cleaner","cleaner","hygiene articles","shopping bags","","","","","","","","","","","","",""
5109,1.2,"7/28/2023","Friday","whole milk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4523,10.6,"7/19/2023","Wednesday","sausage","pip fruit","root vegetables","whole milk","yogurt","frozen potato products","pasta","bottled water","fruit/vegetable juice","","","","","","","","","","","","","","","","","","","","","","",""
3244,4,"6/13/2023","Tuesday","ham","other vegetables","whole milk","butter","yogurt","flour","oil","spices","","","","","","","","","","","","","","","","","","","","","","","",""
8438,6.3,"7/28/2023","Friday","sausage","ham","bottled water","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8903,16.5,"5/24/2023","Wednesday","chicken","pork","beef","other vegetables","whole milk","butter","whipped/sour cream","soft cheese","cream cheese ","processed cheese","frozen vegetables","frozen fruits","pastry","sugar","soda","long life bakery product","waffles","chocolate marshmallow","candy","","","","","","","","","","","","",""
